T1,Quy Nhơn - Phú Tài - Suối Mơ,6:00,17:20,50,,3,8.000 VNĐ,215.000 VNĐ
T2,Quy Nhơn - Phú Tài - Phước Mỹ,5:30,17:30,60,,3,8.000 VNĐ,215.000 VNĐ
T4,Quy Nhơn - Đập Đá - Gò Găng,5:20,17:20,75,,3,16.000 VNĐ,215.000 VNĐ
T6,Quy Nhơn - Tây Sơn - Cầu 16,5:20,17:50,115,,4,27.000 VNĐ,215.000 VNĐ
T7,Quy Nhơn - Tuy Phước - Cát Tiến,5:40,17:15,90,,3,18.000 VNĐ,215.000 VNĐ
T8,Quy Nhơn - Diêu Trì - Vân Canh,5:15,17:20,90,,3,20.000 VNĐ,215.000 VNĐ
T11,Quy Nhơn - Sông Cầu - Chí Thạnh,6:20,15:00,110,,2,28.000 VNĐ,215.000 VNĐ
T12,Quy Nhơn - Phù Mỹ - Tam Quan,6:20,17:00,185,,6,44.000 VNĐ,215.000 VNĐ
